video,frame,method,kind,memory_frames,confidence_mode,lambda_qmem,lambda_code,lambda_clean,iou,dice,precision,recall,pred_pixels,gt_pixels,threshold,mean_qmem_mismatch,mean_qmem_confidence,mean_top_similarity,mean_score_margin,same_code_rate,mean_selected_age,img_path,mask_path
before-video-000,frame_0001.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.24596124876629785,0.3948136412907529,0.2597082053532251,0.8229058046576295,18232,5754,0.04741304088383913,0.0,0.0,0.0,0.0,0.0,0.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0001.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0001.jpg
before-video-000,frame_0002.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.3016062176165803,0.46343696508896937,0.31083462380520105,0.9103847356897091,18727,6394,0.04741304088383913,0.004230912774801254,0.6021969318389893,0.9941017031669617,0.002394164213910699,0.430908203125,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0002.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0002.jpg
before-video-000,frame_0003.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.31826912816134884,0.48285910875460397,0.33784549161758043,0.8459792937172033,17656,7051,0.04741304088383913,0.0036870420444756746,0.594456136226654,0.9946516156196594,0.0023783163633197546,0.420166015625,1.000244140625,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0003.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0003.jpg
before-video-000,frame_0004.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.29385582126025483,0.4542327150084317,0.31872396819386595,0.7901900962215442,21128,8522,0.04741304088383913,0.004498376045376062,0.6023163199424744,0.9938449859619141,0.002293194178491831,0.43359375,1.000244140625,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0004.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0004.jpg
before-video-000,frame_0005.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.2459569355882081,0.39480808455405153,0.2957550838982109,0.5936210549793688,17998,8967,0.04741304088383913,0.004494471941143274,0.5528867244720459,0.9937125444412231,0.0022560162469744682,0.36328125,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0005.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0005.jpg
before-video-000,frame_0006.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.2597073251850004,0.41232962608494766,0.2946559124569596,0.6864835164835165,21201,9100,0.04741304088383913,0.00427680928260088,0.5282737016677856,0.9937829971313477,0.002254356862977147,0.3271484375,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0006.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0006.jpg
before-video-000,frame_0007.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.2397924655989172,0.38682678311499274,0.2680823161505094,0.6944081525999477,19826,7654,0.04741304088383913,0.0034562554210424423,0.535972535610199,0.9945139288902283,0.002303662011399865,0.33740234375,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0007.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0007.jpg
before-video-000,frame_0008.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.21227404597188126,0.3502080188505578,0.2326241134751773,0.7081596188207266,20445,6716,0.04741304088383913,0.0032889777794480324,0.5592149496078491,0.9948102831840515,0.002411128953099251,0.36865234375,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0008.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0008.jpg
before-video-000,frame_0009.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.3050474547023296,0.4674886780602294,0.32377856128943633,0.8405848787446505,21839,8412,0.04741304088383913,0.0033850660547614098,0.5460345149040222,0.994617760181427,0.00241469987668097,0.349365234375,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0009.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0009.jpg
before-video-000,frame_0010.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.348563872768677,0.5169408432291099,0.3923757545687588,0.7573822825219473,24186,12530,0.04741304088383913,0.004255970939993858,0.555621325969696,0.9936577081680298,0.0024220335762947798,0.36328125,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0010.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0010.jpg
before-video-000,frame_0011.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.38307119967586284,0.553942848011931,0.4013739338504882,0.8936243340780203,25911,11638,0.04741304088383913,0.004085539374500513,0.5406975746154785,0.9936689138412476,0.002476505469530821,0.340576171875,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0011.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0011.jpg
before-video-000,frame_0012.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.47490243054213843,0.643978097408892,0.49791354373455415,0.9113154382322408,24683,13486,0.04741304088383913,0.0038793657440692186,0.5588067770004272,0.99400794506073,0.0025246459990739822,0.36572265625,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0012.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0012.jpg
before-video-000,frame_0013.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.40458832736109396,0.5760952436807225,0.43278847424769795,0.8612889083735203,22697,11405,0.04741304088383913,0.003434983314946294,0.5761268138885498,0.9945114850997925,0.002601220505312085,0.389404296875,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0013.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0013.jpg
before-video-000,frame_0014.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.3587395752729774,0.5280475843958616,0.39062865702382626,0.8146231940648184,21363,10244,0.04741304088383913,0.0031329516787081957,0.6077257990837097,0.9950714707374573,0.0025527181569486856,0.43603515625,1.000119686126709,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0014.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0014.jpg
before-video-000,frame_0015.jpg,strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,0.3496611213801602,0.5181465418854143,0.3755998014450389,0.8350705088902514,18131,8155,0.04741304088383913,0.003188442438840866,0.5946658253669739,0.995114803314209,0.0024052413646131754,0.419677734375,1.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0015.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0015.jpg
