video,christian_mean_iou,method_mean_iou,mean_delta_iou,n_frames,method
before-video-000,0.3794809288242044,0.31997372486807807,-0.05950720395612632,66,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-001,0.2519872494594668,0.32012716517494605,0.06813991571547923,11,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-002,0.2820122457959932,0.3342348461169899,0.05222260032099669,49,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-003,0.3322926377146983,0.3608152567265406,0.02852261901184225,46,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-004,0.3922930137962685,0.2836830831017942,-0.10860993069447433,10,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-005,0.349849799883027,0.3612019571036322,0.011352157220605176,55,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-006,0.3695320690992881,0.37325353351809304,0.0037214644188049537,38,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-007,0.38623108288556074,0.4777922333379482,0.09156115045238744,10,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-008,0.32623887984656946,0.34136627285533716,0.015127393008767656,91,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-009,0.2938306545962098,0.41907367873547774,0.12524302413926805,14,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-010,0.361641728858258,0.3535734903890004,-0.008068238469257688,11,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-011,0.3284757505816951,0.4466949621841663,0.1182192116024712,14,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-012,0.32948153532278435,0.3735126745876304,0.04403113926484606,72,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-013,0.3853891417238897,0.3195880772175646,-0.06580106450632507,9,strict_qmem_v1_reference_T1K2_lambda0p05
before-video-000,0.3794809288242044,0.3090756563000654,-0.07040527252413904,66,strict_qmem_v2_T2K2_qmem_code
before-video-001,0.2519872494594668,0.3088387712515726,0.05685152179210585,11,strict_qmem_v2_T2K2_qmem_code
before-video-002,0.2820122457959932,0.32102148168681016,0.03900923589081696,49,strict_qmem_v2_T2K2_qmem_code
before-video-003,0.3322926377146983,0.35637490400275906,0.024082266288060712,46,strict_qmem_v2_T2K2_qmem_code
before-video-004,0.3922930137962685,0.2763278345434975,-0.11596517925277103,10,strict_qmem_v2_T2K2_qmem_code
before-video-005,0.349849799883027,0.3499018936685553,5.2093785528284364e-05,55,strict_qmem_v2_T2K2_qmem_code
before-video-006,0.3695320690992881,0.36206313149152025,-0.007468937607767851,38,strict_qmem_v2_T2K2_qmem_code
before-video-007,0.38623108288556074,0.4702972104850776,0.0840661275995169,10,strict_qmem_v2_T2K2_qmem_code
before-video-008,0.32623887984656946,0.325761656908681,-0.00047722293788848906,91,strict_qmem_v2_T2K2_qmem_code
before-video-009,0.2938306545962098,0.4074203454920573,0.11358969089584758,14,strict_qmem_v2_T2K2_qmem_code
before-video-010,0.361641728858258,0.3372638994509593,-0.024377829407298747,11,strict_qmem_v2_T2K2_qmem_code
before-video-011,0.3284757505816951,0.43412999584798223,0.10565424526628715,14,strict_qmem_v2_T2K2_qmem_code
before-video-012,0.32948153532278435,0.36339894471313583,0.0339174093903515,72,strict_qmem_v2_T2K2_qmem_code
before-video-013,0.3853891417238897,0.3030914984415655,-0.08229764328232417,9,strict_qmem_v2_T2K2_qmem_code
